,Name,University,JoinYear,Rank,Subfield,Bachelors,Masters,Doctorate,PostDoc,Sources1,Sources2,url
436,Nancy Nersessian,Georgia Institute of Technology,1993,Full,Human-Computer Interaction,Boston University - USA,Case Western Reserve University - USA,Case Western Reserve University - USA,,http://www.cc.gatech.edu/aimosaic/faculty/nersessian/CV-Nancy-Nersessian.pdf,,/aimosaic/faculty/nersessian/CV-Nancy-Nersessian.pdf
437,Nick Feamster,Georgia Institute of Technology,2011,Associate,Networks & Communications,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Princeton University - USA,http://www.cc.gatech.edu/~feamster/cv-jun2013.pdf,http://www.cc.gatech.edu/~feamster/,/~feamster/cv-jun2013.pdf
438,Polo Chau,Georgia Institute of Technology,2012,Assistant,Data Mining,Chinese University of Hong Kong - Hong Kong,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://www.cc.gatech.edu/~dchau/,,/~dchau/
439,Prasad Tetali,Georgia Institute of Technology,1994,Full,Algorithms & Theory,,New York University - USA,New York University - USA,Mathematical Sciences Research Center - Bell Laboratories - USA,http://people.math.gatech.edu/~tetali/,,/~tetali/
440,Rahul Basole,Georgia Institute of Technology,2006,Associate,Data Mining,Virginia Polytechnic Institute and State University - USA,University of Michigan - USA,Georgia Institute of Technology - USA,,http://www.ti.gatech.edu/basole/docs/basole_cv.pdf,,/basole/docs/basole_cv.pdf
441,Richard DeMillo,Georgia Institute of Technology,1976,Associate,Security & Privacy,University of St. Thomas - USA,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://www.scs.gatech.edu/people/richard-demillo,http://en.wikipedia.org/wiki/Richard_DeMillo,/people/richard-demillo
442,Richard Fujimoto,Georgia Institute of Technology,,Full,Distributed & Parallel Computing,University of Illinois at Urbana-Champaign - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://www.cc.gatech.edu/~fujimoto/,,/~fujimoto/
443,Richard Lipton,Georgia Institute of Technology,2000,Full,Algorithms & Theory,Case Western Reserve University - USA,,Carnegie Mellon University - USA,,http://en.wikipedia.org/wiki/Richard_J._Lipton,http://www.scs.gatech.edu/people/richard-lipton,/wiki/Richard_J._Lipton
444,Richard Vuduc,Georgia Institute of Technology,2007,Associate,Distributed & Parallel Computing,Cornell University - USA,,University of California - Berkeley - USA,Lawrence Livermore National Laboratory - USA,http://vuduc.org/index.php,,/index.php
445,Ronald Arkin,Georgia Institute of Technology,,Full,Artificial Intelligence,University of Michigan - USA,Stevens Institute of Technology - USA,University of Massachusetts - Amherst - USA,,http://www.cc.gatech.edu/aimosaic/faculty/arkin/,,/aimosaic/faculty/arkin/
446,Santosh Pande,Georgia Institute of Technology,,Associate,Distributed & Parallel Computing,,,North Carolina State University - USA,,http://www.cc.gatech.edu/home/santosh/,http://www.scs.gatech.edu/people/santosh-pande,/home/santosh/
447,Santosh Vempala,Georgia Institute of Technology,2003,Associate,Algorithms & Theory,Indian Institute of Science - Bangalore - India,,Carnegie Mellon University - USA,,http://www.cc.gatech.edu/~vempala/cv2013.pdf,http://www.cc.gatech.edu/~vempala/,/~vempala/cv2013.pdf
448,Seymour Goodman,Georgia Institute of Technology,2000,Full,Security & Privacy,Columbia University - USA,California Institute of Technology - USA,California Institute of Technology - USA,,http://www.iac.gatech.edu/faculty-and-staff/faculty/bio/goodman,,/faculty-and-staff/faculty/bio/goodman
449,Shamkant Navathe,Georgia Institute of Technology,1980,Associate,Databases,Indian Institute of Science - Bangalore - India,Ohio State University - USA,University of Michigan - USA,,http://www.cc.gatech.edu/~sham/3_resume.html,http://www.cc.gatech.edu/~sham/,/~sham/3_resume.html
450,Srinivas Aluru,Georgia Institute of Technology,2013,Full,Bioinformatics & Computational Biology,Indian Institute of Technology - Madras - India,Iowa State University - USA,Iowa State University - USA,,http://www.cc.gatech.edu/~saluru/,,/~saluru/
451,Taesoo Kim,Georgia Institute of Technology,2014,Assistant,Security & Privacy,Korea Advanced Institute of Science and Technology - South Korea,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,https://taesoo.gtisc.gatech.edu/,,/
452,Thad Starner,Georgia Institute of Technology,,Full,Human-Computer Interaction,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cc.gatech.edu/home/thad/,,/home/thad/
453,Thomas Conte,Georgia Institute of Technology,1995,Full,Hardware & Architecture,University of Delaware - USA,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,http://www.conte.us/life.html,http://www.scs.gatech.edu/people/thomas-conte,/life.html
454,Tucker Balch,Georgia Institute of Technology,2001,Associate,Artificial Intelligence,Georgia Institute of Technology - USA,University of California - Davis - USA,Georgia Institute of Technology - USA,,http://www.cc.gatech.edu/home/tucker/,,/home/tucker/
455,Umakishore Ramachandran,Georgia Institute of Technology,,Full,Distributed & Parallel Computing,,,University of Wisconsin - Madison - USA,,http://www.scs.gatech.edu/people/umakishore-ramachandran,http://www.cc.gatech.edu/~rama/,/people/umakishore-ramachandran
456,Vijay Vazirani,Georgia Institute of Technology,,Full,Algorithms & Theory,Massachusetts Institute of Technology - USA,,University of California - Berkeley - USA,,http://www.cc.gatech.edu/~vazirani/,http://en.wikipedia.org/wiki/Vijay_Vazirani,/~vazirani/
457,Wenke Lee,Georgia Institute of Technology,2001,Full,Security & Privacy,Sun Yat-sen University - China,City University of New York - USA,Columbia University - USA,,http://wenke.gtisc.gatech.edu/cv.html,http://wenke.gtisc.gatech.edu/,/cv.html
458,Barbara J. Grosz,Harvard University,1986,Full,Machine Learning & Pattern Recognition,Cornell University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://www.seas.harvard.edu/sites/default/files/Barbara%20Grosz_0.pdf,http://www.seas.harvard.edu/directory/grosz,/sites/default/files/Barbara%20Grosz_0.pdf
459,David C. Parkes,Harvard University,2001,Full,Artificial Intelligence,University of Oxford - United Kingdom,University of Oxford - United Kingdom,University of Pennsylvania - USA,,http://www.seas.harvard.edu/computer-science/people,http://www.eecs.harvard.edu/~parkes/,/computer-science/people
460,David Cox,Harvard University,2007,Assistant,Bioinformatics & Computational Biology,Harvard University - USA,,Massachusetts Institute of Technology - USA,,http://coxlab.org/pdfs/david_cox_cv.pdf,,/pdfs/david_cox_cv.pdf
461,David M. Brooks,Harvard University,2002,Full,Software Engineering,University of Southern California - USA,Princeton University - USA,Princeton University - USA,,http://www.seas.harvard.edu/directory/dbrooks,http://www.eecs.harvard.edu/~dbrooks/,/directory/dbrooks
462,Eddie Kohler,Harvard University,2001,Associate,Networks & Communications,,,Massachusetts Institute of Technology - USA,,http://www.lcdf.org/~eddietwo/application/cv.html,http://www.seas.harvard.edu/directory/kohler,/~eddietwo/application/cv.html
463,Greg Morrisett,Harvard University,2004,Full,Programming Languages,University of Richmond - USA,,Carnegie Mellon University - USA,,http://www.seas.harvard.edu/computer-science/people,,/computer-science/people
464,H.T. Kung,Harvard University,1992,Full,Databases,Tsinghua University - Beijing - China,,Carnegie Mellon University - USA,,http://www.eecs.harvard.edu/~htk.,http://en.wikipedia.org/wiki/H._T._Kung,/~htk.
465,Hanspeter Pfister,Harvard University,2007,Full,Human-Computer Interaction,,Swiss Federal Institute of Technology (ETH) - Switzerland,State University of New York - Stony Brook - USA,,http://www.seas.harvard.edu/computer-science/people,,/computer-science/people
466,Harry R. Lewis,Harvard University,1968,Full,Algorithms & Theory,Harvard University - USA,Harvard University - USA,Harvard University - USA,,http://www.seas.harvard.edu/computer-science/people,,/computer-science/people
467,James H. Waldo,Harvard University,2011,Full,Scientific Computing,,University of Utah - USA,University of Massachusetts - Amherst - USA,University of Massachusetts - Amherst - USA,http://www.seas.harvard.edu/directory/waldo,,/directory/waldo
468,Jelani Nelson,Harvard University,2013,Assistant,Algorithms & Theory,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Mathematical Sciences Research Institute - Princeton University - USA,http://www.seas.harvard.edu/computer-science/people,,/computer-science/people
469,Jonathan Zittrain,Harvard University,2008,Full,Security & Privacy,Yale University - USA,Harvard University - USA,,,http://www.seas.harvard.edu/directory/zittrain,http://en.wikipedia.org/wiki/Jonathan_Zittrain,/directory/zittrain
470,Krzysztof Gajos,Harvard University,2009,Associate,Human-Computer Interaction,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of Washington - USA,,http://www.seas.harvard.edu/directory/kgajos,,/directory/kgajos
471,Leslie Valiant,Harvard University,1982,Associate,Algorithms & Theory,University of Cambridge - United Kingdom,Imperial College - United Kingdom,University of Warwick - United Kingdom,,http://www.seas.harvard.edu/directory/valiant,,/directory/valiant
472,Margo I. Seltzer,Harvard University,1992,Full,Operating Systems,Harvard University - USA,,University of California - Berkeley - USA,,http://www.seas.harvard.edu/directory/margo,http://www.seas.harvard.edu/sites/default/files/Seltzer_0.pdf,/directory/margo
473,Michael D. Mitzenmacher,Harvard University,1999,Full,Algorithms & Theory,Harvard University - USA,University of Cambridge - United Kingdom,University of California - Berkeley - USA,,http://www.seas.harvard.edu/computer-science/people,,/computer-science/people
474,Michael D. Smith,Harvard University,1992,Associate,Programming Languages,Princeton University - USA,Worcester Polytechnic Institute - USA,Stanford University - USA,,http://www.seas.harvard.edu/sites/default/files/MikeSmith_0.pdf,http://www.seas.harvard.edu/directory/mikesmith,/sites/default/files/MikeSmith_0.pdf
475,Radhika Nagpal,Harvard University,2003,Full,Artificial Intelligence,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.seas.harvard.edu/computer-science/people,,/computer-science/people
476,Ryan P. Adams,Harvard University,2011,Assistant,Artificial Intelligence,Massachusetts Institute of Technology - USA,University of Cambridge - United Kingdom,University of Cambridge - United Kingdom,University of Toronto - Canada,http://hips.seas.harvard.edu/,,/
477,Salil P. Vadhan,Harvard University,2009,Associate,Algorithms & Theory,Harvard University - USA,Churchill College - Cambridge - United Kingdom,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,http://www.seas.harvard.edu/directory/salil,,/directory/salil
478,Stephen Chong,Harvard University,2001,Associate,Programming Languages,Victoria University of Wellington - New Zealand,Victoria University of Wellington - New Zealand,Cornell University - USA,University of New South Wales - Australia,http://people.seas.harvard.edu/~chong/,http://www.cs.cornell.edu/w8/~schong/chong_cv.pdf,/~chong/
479,Steven J. Gortler,Harvard University,2000,Associate,Graphics,Queen's University - Ontario - Canada,Princeton University - USA,Princeton University - USA,,http://www.seas.harvard.edu/directory/sjg,http://www.seas.harvard.edu/sites/default/files/Gortler_0.pdf,/directory/sjg
480,Stuart M. Shieber,Harvard University,1988,Full,Natural Language & Speech,Harvard University - USA,,Stanford University - USA,,http://www.seas.harvard.edu/sites/default/files/shieber_0.pdf,http://www.seas.harvard.edu/directory/shieber,/sites/default/files/shieber_0.pdf
481,Yaron Singer,Harvard University,2013,Assistant,Algorithms & Theory,Tel Aviv University - Israel,University of California - Berkeley - USA,University of California - Berkeley - USA,Google - USA,http://people.seas.harvard.edu/~yaron/,http://yaron.seas.harvard.edu/biocv,/~yaron/
482,Yiling Chen,Harvard University,2008,Associate,Artificial Intelligence,Renmin University of China - China,Tsinghua University - Beijing - China,Pennsylvania State University - USA,,http://www.seas.harvard.edu/directory/yiling,,/directory/yiling
483,Adam Lopez,Johns Hopkins University,2011,Assistant,Natural Language & Speech,Duke University - USA,University of Maryland - College Park - USA,University of Maryland - College Park - USA,University of Edinburgh - United Kingdom,http://www.cs.jhu.edu/~alopez/cv.html,,/~alopez/cv.html
484,Alexis Battle,Johns Hopkins University,2014,Research,Bioinformatics & Computational Biology,Stanford University - USA,,Stanford University - USA,Stanford University - USA,http://www.stanford.edu/~ajbattle/index.html,,/~ajbattle/index.html
485,Aviel Rubin,Johns Hopkins University,2004,Full,Security & Privacy,University of Michigan - USA,University of Michigan - USA,University of Michigan - USA,,http://www.avirubin.com/Avi_Rubins_home_page/Vita.html,,/Avi_Rubins_home_page/Vita.html
486,Benjamin Langmead,Johns Hopkins University,2012,Assistant,Bioinformatics & Computational Biology,Columbia University - USA,University of Maryland - College Park - USA,University of Maryland - College Park - USA,,http://www.cs.jhu.edu/~langmea/cv/current.pdf,,/~langmea/cv/current.pdf
487,Benjamin Van Durme,Johns Hopkins University,,Research,Natural Language & Speech,University of Rochester - USA,University of Rochester - USA,University of Rochester - USA,Johns Hopkins University - USA,http://www.cs.jhu.edu/~vandurme/,,/~vandurme/
488,David Yarowsky,Johns Hopkins University,,Full,Natural Language & Speech,Harvard University - USA,University of Pennsylvania - USA,University of Pennsylvania - USA,,http://www.cs.jhu.edu/~yarowsky/,,/~yarowsky/
489,Giuseppe Ateniese,Johns Hopkins University,,Associate,Security & Privacy,,University of Salerno - Italy,University of Genoa - Italy,,http://www.cs.jhu.edu/~ateniese/,,/~ateniese/
490,Gregory Hager,Johns Hopkins University,2005,Full,Human-Computer Interaction,Luther College - USA,University of Pennsylvania - USA,University of Pennsylvania - USA,,http://www.cs.jhu.edu/~hager/Public/CV/newlongvita.pdf,,/~hager/Public/CV/newlongvita.pdf
491,Jason Eisner,Johns Hopkins University,2000,Associate,Natural Language & Speech,Harvard University - USA,University of Cambridge - United Kingdom,University of Pennsylvania - USA,,http://www.cs.jhu.edu/~jason/cv.pdf,,/~jason/cv.pdf
492,Joanne Selinski,Johns Hopkins University,,Associate,Computer Education,Chestnut Hill College,Johns Hopkins University - USA,Johns Hopkins University - USA,,http://www.cs.jhu.edu/~joanne/,,/~joanne/
493,Mark Dredze,Johns Hopkins University,,Research,Natural Language & Speech,Northwestern University - USA,Yeshiva University - USA,University of Pennsylvania - USA,,http://www.cs.jhu.edu/~mdredze/,,/~mdredze/
494,Matthew Green,Johns Hopkins University,2010,Assistant,Security & Privacy,Oberlin College - USA,Johns Hopkins University - USA,Johns Hopkins University - USA,,http://spar.isi.jhu.edu/~mgreen/matthew_green_CV.pdf,,/~mgreen/matthew_green_CV.pdf
495,Michael Dinitz,Johns Hopkins University,2014,Assistant,Algorithms & Theory,Princeton University - USA,,Carnegie Mellon University - USA,Weizmann Institute of Science - Israel,http://www.cs.jhu.edu/~mdinitz/cv.pdf,,/~mdinitz/cv.pdf
496,Michael Kazhdan,Johns Hopkins University,,Associate,Graphics,Harvard University - USA,Princeton University - USA,Princeton University - USA,,http://www.cs.jhu.edu/~misha/,http://www.cs.jhu.edu/faculty/michael-misha-kazhdan/,/~misha/
497,Nassir Navab,Johns Hopkins University,,Full,Human-Computer Interaction,Université de Technologie de Compiègne - France,,INRIA & Paris XI - France,Massachusetts Institute of Technology - USA,http://campar.in.tum.de/Main/NassirNavabCv,,.tum.de/Main/NassirNavabCv
498,Peter Kazanzides,Johns Hopkins University,2002,Associate,Bioinformatics & Computational Biology,Brown University - USA,Brown University - USA,Brown University - USA,IBM Thomas J. Watson Research Center - USA,https://jshare.johnshopkins.edu/pkazanz1/public_html/,,/pkazanz1/public_html/
499,Philipp Koehn,Johns Hopkins University,2014,Full,Natural Language & Speech,University of Erlangen - Germany,University of Tennessee - USA,University of Southern California - USA,Massachusetts Institute of Technology - USA,http://homepages.inf.ed.ac.uk/pkoehn/resume.html,,/pkoehn/resume.html
500,Raman Arora,Johns Hopkins University,,Assistant,Machine Learning & Pattern Recognition,,University of Wisconsin - Madison - USA,University of Wisconsin - Madison - USA,University of Washington - USA,http://ttic.uchicago.edu/~raman/Home.html,,/~raman/Home.html
501,Randal Burns,Johns Hopkins University,2001,Associate,Machine Learning & Pattern Recognition,Stanford University - USA,University of California - Santa Cruz - USA,University of California - Santa Cruz - USA,,http://hssl.cs.jhu.edu/~randal/rbcv.pdf,,/~randal/rbcv.pdf
502,Russell Taylor,Johns Hopkins University,1995,Full,Human-Computer Interaction,Johns Hopkins University - USA,,Stanford University - USA,,http://cs.jhu.edu/~rht/RHT%20Papers/Russell%20H%20Taylor%20-%20CV.pdf,,/~rht/RHT%20Papers/Russell%20H%20Taylor%20-%20CV.pdf
503,S. Rao Kosaraju,Johns Hopkins University,,Full,Algorithms & Theory,Andhra University - India,Indian Institute of Technology - Kharagpur - India,University of Pennsylvania - USA,,http://www.cs.jhu.edu/~kosaraju/,,/~kosaraju/
504,Scott Smith,Johns Hopkins University,1988,Full,Programming Languages,Purdue University - USA,,Cornell University - USA,,http://folio.jhu.edu/faculty/Scott%20F._Smith,,/faculty/Scott%20F._Smith
505,Stephen Checkoway,Johns Hopkins University,,Assistant,Security & Privacy,University of Washington - USA,University of California - San Diego - USA,University of California - San Diego - USA,,http://www.cs.jhu.edu/~s/,,/~s/
506,Suchi Saria,Johns Hopkins University,2012,Assistant,Machine Learning & Pattern Recognition,,,Stanford University - USA,Harvard University - USA,http://www.suchisaria.com/,,/
507,Susan Hohenberger,Johns Hopkins University,,Associate,Security & Privacy,Ohio State University - USA,,Massachusetts Institute of Technology - USA,IBM Research - Zurich - Switzerland,http://www.cs.jhu.edu/~susan/,,/~susan/
508,Vladimir Braverman,Johns Hopkins University,2011,Assistant,Algorithms & Theory,Ben-Gurion University of the Negev - Israel,Ben-Gurion University of the Negev - Israel,University of California - Los Angeles - USA,,http://www.cs.jhu.edu/~vova/,http://newsroom.unl.edu/announce/cse/3298/18006,/~vova/
509,Xin Li,Johns Hopkins University,2011,Assistant,Algorithms & Theory,Tsinghua University - Beijing - China,Tsinghua University - Beijing - China,University of Texas - Austin - USA,University of Washington - USA,http://www.cs.jhu.edu/~lixints/CV_XinLi.pdf,,/~lixints/CV_XinLi.pdf
510,Yair Amir,Johns Hopkins University,1995,Full,Distributed & Parallel Computing,Technion-Israel Institute of Technology - Israel,Technion-Israel Institute of Technology - Israel,Hebrew University of Jerusalem - Israel,,https://www.cs.jhu.edu/~ralucam/ralucam-cv-july-2009.pdf,,/~ralucam/ralucam-cv-july-2009.pdf
511,Yanif Ahmad,Johns Hopkins University,2010,Assistant,Machine Learning & Pattern Recognition,Imperial College - United Kingdom,Brown University - USA,Brown University - USA,Cornell University - USA,http://www.cs.jhu.edu/~yanif/cv-yna.pdf,,/~yanif/cv-yna.pdf
512,Alan S. Willsky,Massachusetts Institute of Technology,,Full,Graphics,,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.vuse.vanderbilt.edu/~koutsoxd/www/EECSLS/willsky.html,http://ssg.mit.edu/~willsky/bio_short.htm,/~koutsoxd/www/EECSLS/willsky.html
513,Albert Meyer,Massachusetts Institute of Technology,1969,Full,Algorithms & Theory,Harvard University - USA,Harvard University - USA,Harvard University - USA,,https://www.csail.mit.edu/user/993,http://people.csail.mit.edu/meyer/vita.pdf,/user/993
514,Alexandre Megretski,Massachusetts Institute of Technology,1999,Associate,Algorithms & Theory,,Saint Petersburg State University - Russia,Saint Petersburg State University - Russia,,http://lids.mit.edu/people/faculty/megretski-alex.html,,/people/faculty/megretski-alex.html
515,Anant Agarwal,Massachusetts Institute of Technology,,Full,Computer Education,Indian Institute of Technology - Madras - India,,Stanford University - USA,,http://www.csail.mit.edu/user/723,,/user/723
516,Andrew Lo,Massachusetts Institute of Technology,1984,Full,Artificial Intelligence,,,Harvard University - USA,,http://www.argentumlux.org/biography-41.html,,/biography-41.html
517,Arvind,Massachusetts Institute of Technology,,Full,Real-Time & Embedded Systems,Indian Institute of Technology - Kanpur - India,University of Minnesota - Twin Cities - USA,University of Minnesota - Twin Cities - USA,,http://csg.csail.mit.edu/Users/arvind/,,/Users/arvind/
518,Asuman Ozdaglar,Massachusetts Institute of Technology,2003,Full,Algorithms & Theory,Middle East Technical University - Ankara - Turkey,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://web.mit.edu/asuman/www/documents/CV-Ozdaglar-04-13.pdf,,/asuman/www/documents/CV-Ozdaglar-04-13.pdf
519,Barbara Liskov,Massachusetts Institute of Technology,1972,Full,Operating Systems,University of California - Berkeley - USA,Stanford University - USA,Stanford University - USA,,http://www.pmg.lcs.mit.edu/~liskov/newcv-09.pdf,http://www.pmg.csail.mit.edu/~liskov/,/~liskov/newcv-09.pdf
520,Berthold Horn,Massachusetts Institute of Technology,,Full,Scientific Computing,University of the Witwatersrand - South Africa,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://people.csail.mit.edu/bkph/,,/bkph/
521,Bonnie A. Berger,Massachusetts Institute of Technology,,Full,Bioinformatics & Computational Biology,Brandeis University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,http://people.csail.mit.edu/bab/bio.html,,/bab/bio.html
522,Bruce Tidor,Massachusetts Institute of Technology,1994,Full,Bioinformatics & Computational Biology,Harvard University - USA,University of Oxford - United Kingdom,Harvard University - USA,,http://csbi.mit.edu/people/tidor.html,,/people/tidor.html
523,Charles Leiserson,Massachusetts Institute of Technology,1988,Full,Algorithms & Theory,Yale University - USA,,Carnegie Mellon University - USA,,http://people.csail.mit.edu/cel/resume.pdf,http://www.csail.mit.edu/user/960,/cel/resume.pdf
524,Collin Stultz,Massachusetts Institute of Technology,,Associate,Hardware & Architecture,Harvard University - USA,Harvard University - USA,Harvard University - USA,,http://www.rle.mit.edu/people/directory/collin-stultz/,https://hst.mit.edu/users/cmstultzcsailmitedu,/people/directory/collin-stultz/
525,Dana Moshkovitz,Massachusetts Institute of Technology,2010,Assistant,Algorithms & Theory,Open University - United Kingdom,Tel Aviv University - Israel,Weizmann Institute of Science - Israel,,http://adams.academy.ac.il/wp-content/uploads/2013/06/cv.pdf,,/wp-content/uploads/2013/06/cv.pdf
526,Daniel Jackson,Massachusetts Institute of Technology,1997,Full,Software Engineering,,University of Oxford - United Kingdom,Massachusetts Institute of Technology - USA,,http://www.csail.mit.edu/user/727,,/user/727
527,Daniel Sanchez,Massachusetts Institute of Technology,2012,Assistant,Distributed & Parallel Computing,University of Wisconsin - Madison - USA,Stanford University - USA,Stanford University - USA,,http://people.csail.mit.edu/sanchez/cv.pdf,http://people.csail.mit.edu/sanchez/,/sanchez/cv.pdf
528,Daniela Rus,Massachusetts Institute of Technology,2008,Full,Security & Privacy,,,Cornell University - USA,,http://www.csail.mit.edu/user/876,http://people.csail.mit.edu/rus/,/user/876
529,David Gifford,Massachusetts Institute of Technology,1982,Full,Bioinformatics & Computational Biology,Massachusetts Institute of Technology - USA,Stanford University - USA,Stanford University - USA,,http://cgs.csail.mit.edu/people/gifford.html,,/people/gifford.html
530,David Karger,Massachusetts Institute of Technology,1995,Full,Human-Computer Interaction,Harvard University - USA,University of Cambridge - United Kingdom,Stanford University - USA,Bell Laboratories - USA,http://people.csail.mit.edu/karger/resume.pdf,http://www.csail.mit.edu/user/1542,/karger/resume.pdf
531,David Perreault,Massachusetts Institute of Technology,2001,Associate,Hardware & Architecture,Boston University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.rle.mit.edu/people/directory/david-perreault/,,/people/directory/david-perreault/
532,Devavrat Shah,Massachusetts Institute of Technology,2005,Associate,Networks & Communications,Indian Institute of Technology - Bombay - India,,Stanford University - USA,,http://web.mit.edu/devavrat/www/bio.html,,/devavrat/www/bio.html
533,Dina Katabi,Massachusetts Institute of Technology,2003,Full,Networks & Communications,Damascus University - Syria,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,people.csail.mit.edu/dina/,,/dina/
534,Elfar Adalsteinsson,Massachusetts Institute of Technology,2004,Associate,Hardware & Architecture,University of Iceland - Iceland,Stanford University - USA,Stanford University - USA,,http://www.rle.mit.edu/people/directory/elfar-adalsteinsson/,,/people/directory/elfar-adalsteinsson/
535,Frederick Hennie III,Massachusetts Institute of Technology,,Full,Multimedia,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.scholars.northwestern.edu/printpage_cv_ctrl.asp?n=Thrasyvoulos+N+Pappas&u_id=1800&oe_id=1&o_id=118,,/printpage_cv_ctrl.asp?n=Thrasyvoulos+N+Pappas&u_id=1800&oe_id=1&o_id=118
536,Fredo Durand,Massachusetts Institute of Technology,2002,Full,Computer Vision,,,University of Grenoble - France,Massachusetts Institute of Technology - USA,http://people.csail.mit.edu/fredo/,http://people.csail.mit.edu/fredo/DurandCV.pdf ,/fredo/
537,George Verghese,Massachusetts Institute of Technology,1977,Full,Networks & Communications,Indian Institute of Technology - Madras - India,North Carolina State University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,http://en.wikipedia.org/wiki/George_Varghese,,/wiki/George_Varghese
538,Gerald Sussman,Massachusetts Institute of Technology,,Full,Programming Languages,Massachusetts Institute of Technology - USA,,Massachusetts Institute of Technology - USA,,http://groups.csail.mit.edu/mac/users/gjs/biography.html,http://groups.csail.mit.edu/mac/users/gjs/gjs.html,/mac/users/gjs/biography.html
539,Gregory W. Wornell,Massachusetts Institute of Technology,1991,Full,Algorithms & Theory,University of British Columbia - Canada,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.rle.mit.edu/people/directory/gregory-wornell/,http://allegro.mit.edu/~gww/bio.html,/people/directory/gregory-wornell/
540,Hal Abelson,Massachusetts Institute of Technology,,Full,Artificial Intelligence,Princeton University - USA,Princeton University - USA,Massachusetts Institute of Technology - USA,,http://www.csail.mit.edu/user/1535,,/user/1535
541,Hari Balakrishnan,Massachusetts Institute of Technology,,Full,Networks & Communications,Indian Institute of Technology - Madras - India,Indian Institute of Technology - Madras - India,University of California - Berkeley - USA,,http://nms.csail.mit.edu/~hari/,,/~hari/
542,Jacob K. White,Massachusetts Institute of Technology,1983,Full,Hardware & Architecture,Massachusetts Institute of Technology - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://www.rle.mit.edu/people/directory/jacob-white/,,/people/directory/jacob-white/
543,Jae Lim,Massachusetts Institute of Technology,1978,Full,Natural Language & Speech,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.rle.mit.edu/people/directory/jae-lim/,,/people/directory/jae-lim/
544,Joel Moses,Massachusetts Institute of Technology,1978,Full,Artificial Intelligence,,,Massachusetts Institute of Technology - USA,,http://esd.mit.edu/Faculty_Pages/moses/Moses-vita-7-9-2013.4.pdf,http://www.csail.mit.edu/user/1000,/Faculty_Pages/moses/Moses-vita-7-9-2013.4.pdf
545,John Guttag,Massachusetts Institute of Technology,1979,Full,Networks & Communications,Brown University - USA,Brown University - USA,University of Toronto - Canada,,http://people.csail.mit.edu/guttag/,,/guttag/
546,John Tsitsiklis,Massachusetts Institute of Technology,1980,Full,Operating Systems,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,https://lids.mit.edu/people/faculty/tsitsiklis-john.html,http://www.mit.edu/~jnt/home.html,/people/faculty/tsitsiklis-john.html
547,Konstantinos Daskalakis,Massachusetts Institute of Technology,2009,Associate,Algorithms & Theory,National Technical University of Athens - Greece,,University of California - Berkeley - USA,,http://www.csail.mit.edu/user/1825,http://www.linkedin.com/pub/constantinos-daskalakis/60/79b/348,/user/1825
548,Leslie Kaelbling,Massachusetts Institute of Technology,2000,Full,Artificial Intelligence,Stanford University - USA,,Stanford University - USA,,http://people.csail.mit.edu/lpk/,http://www.csail.mit.edu/user/808,/lpk/
549,Li-Shiuan Peh,Massachusetts Institute of Technology,2009,Associate,Networks & Communications,National University of Singapore - Singapore,Stanford University - USA,Stanford University - USA,,http://people.csail.mit.edu/peh/cv_jul13.pdf,,/peh/cv_jul13.pdf
